warehouse_code,region_code,id,delivery_date,product_id,name,step_unit,supplier_id,price,quantity
ALQ,BOG,12631296,2023-08-05,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1100.0,600.0
ALQ,BOG,12841321,2023-08-29,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1100.0,200.0
ALQ,BOG,12743615,2023-08-18,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,950.0,340.0
ALQ,BOG,12099083,2023-06-10,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1600.0,300.0
ALQ,BOG,12255584,2023-06-27,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1900.0,510.0
ALQ,BOG,12011066,2023-06-01,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1450.0,450.0
ALQ,BOG,12014999,2023-06-01,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1450.0,20.0
ALQ,BOG,12557054,2023-07-28,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,2000.0,330.0
ALQ,BOG,12747523,2023-08-18,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1000.0,100.0
ALQ,BOG,12806341,2023-08-25,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1100.0,250.0
ALQ,BOG,12399181,2023-07-11,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,850.0,340.0
ALQ,BOG,12033569,2023-06-03,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1500.0,500.0
ALQ,BOG,12593462,2023-08-01,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,2000.0,240.0
ALQ,BOG,12685758,2023-08-11,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1100.0,110.0
ALQ,BOG,12525785,2023-07-25,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1200.0,400.0
ALQ,BOG,12080947,2023-06-08,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1500.0,490.0
ALQ,BOG,12143315,2023-06-15,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1650.0,460.0
ALQ,BOG,12054978,2023-06-06,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,910.0,941.0
ALQ,BOG,12758661,2023-08-20,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,750.0,1793.0
ALQ,BOG,12775791,2023-08-22,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,750.0,407.0
ALQ,BOG,12298183,2023-06-30,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,490.0,656.0
ALQ,BOG,12634003,2023-08-06,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,700.0,2257.0
ALQ,BOG,12461019,2023-07-18,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,550.0,1157.0
ALQ,BOG,12243314,2023-06-24,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,700.0,1066.0
ALQ,BOG,12103244,2023-06-11,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,800.0,1626.0
ALQ,BOG,12845518,2023-08-29,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,750.0,1150.0
ALQ,BOG,12481955,2023-07-20,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,550.0,443.0
ALQ,BOG,12819261,2023-08-27,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,700.0,1866.0
ALQ,BOG,12525716,2023-07-25,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,660.0,1497.0
ALQ,BOG,12165962,2023-06-17,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,700.0,1301.0
ALQ,BOG,12620575,2023-08-04,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,700.0,687.0
ALQ,BOG,12034487,2023-06-04,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,910.0,1132.0
ALQ,BOG,12419216,2023-07-13,56110,Papa Blanca Sin Lavar Pareja (Pequeña) - Desde 4kg,1.0,5283,550.0,808.0
